,review_body
802,"I bought an 11.6"" Asus back in 2015. Yes it got a slow at a certain point but it maintained! This time round decided for a bit of a bigger screen and happy I made that choice. I've had this 14"" notebook now for 4 days and so far it's exactly what I wanted...same as my one before just a bigger screen. And of course way faster since it's new! Highly recommend. Definitely sticking to Asus when the time comes again to buy another notebook!"
803,"I’m judging it to harshly, I came from a MacBook. I gave my MacBook to my mom and for the time being I wanted a cheap laptop that I could use until I bought myself another laptop. After using it for an hour, I realized this wasn’t for me and I returned it the next day. I recommend this for maybe grandparents or very young kids at school or maybe someone who doesn’t have a computer and just uses the laptop to keep files and pay some bills."
804,When I purchase this laptop I wasn’t told it was refurbished. Now when I got it. Two weeks after the screen starts glitching. Don’t waste your money. Amazon won’t give me back my money .
805,With every setting turned down besides screen quality this laptop can push 32 chunks 40 FPS however with good internet it can achieve 60 FPS this appears to only happen in the nether though. Frame quality in the end is the same as the over world. Online gameplay seems to somehow run smoother than single player so remember that.
806,"Realmente es una portátil maravillosa para trabajar, usar programas de Office, internet, ver películas, escuchar música. Es muy delgada y liviana. Me compré la de 14' y el teclado tiene retroiluminación, la calidad de la pantalla es muy buena, y en su primer uso estuve trabajando en ella 5 horas y aún tenía el 50% de batería. Estoy muy contento con sus prestaciones y la calidad en general."
807,"This laptop has been an experience well worth the price. It runs all my games at max graphics with 120+ fps with beautiful quality and responsiveness. The form factor is sleek and compact, and I can enjoy gaming anywhere with it. It does get a little hot, but the laptop’s thermal management system is more than sufficient and I’ve had no problems with overheating. Overall I’d recommend this to anyone in the market for a high end gaming laptop."
808,The laptop looks great physically. It had so many software problems. All rgb lights keeps turning on from Sleep in the middle of the night lighting up my whole room like a Christmas tree. Any software updates throws off how my Occulus VR works. It just stops working! All dark screen!
809,"This laptop is incredible with DDR5, i9, and a 3070ti and played every game I could throw at it. BUT the power adapter died after I had the laptop for only 6 days, so Amazon refunded me $200 to purchase a new power adapter instead of returning the entire computer. Tons of hassle for a part failure on a brand new computer. I will update this review as this unfortunate situation progresses."
810,"This laptop is a beast. On Turbo it is loud, but on performance it's quiet even if being pushed relatively hard. and if Asus Armoury Crate to be believed, the heat is fine. It is also CERTAINLY not hot. Compared to some real furnaces that would burn my hand I've had in the past, this is nothing."
811,"Coming from a desktop rig I built in 2019 (ryzen 7 3700x, rtx 2070 super, 32gb ram) this thing annihilates it in gaming. Some initial thoughts after playing with it for a few hours tonight:"
