,Software Sentences,Software Polarity
2414,"i bought this laptop as a replacement for my old toshiba laptop from 2012. the toshiba one was starting to show its age by failing to pass post and thus failing to boot. | i had used it almost every single day since 2012 after all, as it was my college laptop and even helped me launch my career as an engineer, so it has served me well. | but the os failures were getting troublesome. | they were happening increasingly often, so i decided before all my data was lost (which was not really that much, since i keep all my actually important data on a home file server), i decided to shop around for a nice, reliable, not-too-cheap laptop i could use to replace it, and this is the one i chose to buy.",Positive
2415,i had to take it out of windows s mode to download the software i needed for my school.,Neutral
2416,i got this laptop for work purposes and it delivers. | it is a real pain to rip the back off to upgrade ram and storage but it was possible with some effort.,Positive
2417,"you cannot edit microsoft office 365 online, super frustrating!",Negative
2418,"just a heads up- the item is rose gold, not gold. | i am actually happy that it is rose versus yellow gold.",Positive
2419,"lenovos are known for having great keyboards and this is the best one i have used on a small laptop. | but it is still very solid and surprisingly good from the side, where most screens in this price range are garbage viewed from an angle.",Positive
2420,it does perform almost as well as the asus at 1/2 the price.,Neutral
2421,"this is a christmas gift for my child and i have been playing around with it for a couple of weeks to get everything the way i want (changing terrible windows 10 default settings, installing parental control software, cleaning up start menu, removing bloatware, etc).",Negative
2422,"after i did those things this thing runs amazing. | i do school work, play games, and i am currently writing a book and it dose amazing.",Positive
2423,"the specs say that it is hd , but there are issues when viewing some shows on netflix (pixelated videos, making them un-watchable).",Neutral
