,Performance Sentences,Performance Polarity
867,the laptops are not the core i5-1135g7 processor as advertised. | they both are core i3-1115g4 processor.,Neutral
868,"the product heading is: ""asus vivobook 15 thin and light laptop, 15.6” fhd display, intel i3-1005g1 cpu, 8gb ram, 128gb ssd, backlit keyboard, fingerprint, windows 10 home in s mode, slate gray, f512ja-as34"" yet the keyboard in not backlit and the f7 key is blank.",Neutral
869,"power is 4g of ram, 64 g of storage.",Neutral
870,i did buy extra memory stick for it since i do graphics on it.,Neutral
871,i put in a 500gb ssd and upgraded the ram to 8gb and works solid.,Neutral
872,perfect cost-to-performance ratio.,Positive
873,"it comes with decent specs, but i was surprised to see it has the option to upgrade the ram and hdd. | i spent about another $80 on 16gb ram and 500gb hdd, they are very easy to install if you have a little bit computer knowledge, i am sure a local computer store could install them as well very quickly.",Positive
874,"fast processor too. | too bad the ssd is only 128 gb and ram is 4gb, although you have the option to upgrade in the future.",Negative
875,also i have had tremendous issues trying to get programs to download to the device.,Positive
876,would not want to play cpu intensive games or video editing on a chromebook however.,Neutral
877,"when i bought the computer it ran decent, but upgrading the ram was making it a lot faster(i believe that i have 32gbs in it but not certain could be 16gb).",Positive
878,it gets insanely hot when running anything gpu intensive but a laptop fan will help it cool down.,Positive
879,"fast, responsive, awesome backlit keyboard, speakers are solid, 8gb of ram, and the convertible form factor is very convenient.",Positive
880,laptop shows 90% cpu / ram consumption with internet browser open only... no other software running in the background or any reason for cpu to exert any computing powers.,Positive
881,"the software is impeccable, the processor speed is phenomenal.",Positive
882,"as recommended by other reviews, i added 8 gb of ram, and it is great.",Positive
883,"flawless performance however it does get a bit loud when under full load, but with a headset its not even noticeable.",Positive
884,"easy to upgrade ram, i think i will do that again...",Positive
885,///// we paid a little more to get the ryzen 5 series processor and the machine is significantly faster than the windows 10 computers we had before.,Positive
886,"i wanted ssd, lit keyboard, decent processor and graphics plus it had to be thin and light. | when i read the reviews describing how easy it was to upgrade the ram to 8 gigs i was in. | i installed the samsung 4 gig stick of ram others have recommended in their reviews.",Positive
887,"i like the 512gb ssd drive, very fast to launch programs including adobe creative cloud apps. | for gaming i only have time to play a few aaa games, star wars battlefront i & ii (ea), bioshock games and the age of empires games (not the new aoe iv though, i uninstalled it after playing a few hours, i find the graphics terribly disappointing, awful for 2021-22).",Positive
888,i upgraded the ram from 4 gb to 16 gb but only 13.9 gb was usable (weird).,Negative
889,great performance on good settings just recomend a good laptop cooler,Positive
890,the graphics are outstanding!,Positive
891,"i got the 4gb version of the 3200u and upgraded the ram from 4gb to 8gb. | recently i upgraded the ram further from 8gb to 16gb, added another 2tb ssd 2.5 drive. | i even re-applied the thermal grizzly kryonaut the high performance thermal paste.",Positive
892,"i immediately upgraded the ram from 4gb to 16gb with memory i had on-hand, so my review is based on this initial upgrade.",Neutral
893,it can get loud at times but with how much heat the cpu and gpu generate it is understandable.,Positive
894,"great performance, excellent battery life, and a sleek design help make the leopard a great laptop for a premium price. | i saw frame rates that were consistently above sixty with out-of-date nvidia drivers on high settings.",Positive
895,"a bit slow though at the start, had to upgrade the ram to 12 gb which helped.",Negative
896,"i needed a laptop for simple, low-processor requirement tasks (i.e.",Neutral
897,"my teenage son is very happy about the performance of the acer aspire 5 slim laptop. | we added 4 gb of ram as suggested for a a few dollars more, also purchased on amazon.",Positive
