,Battery Sentences,Battery Polarity
937,"with that said, the battery life is amazing.",Positive
938,"while i personally did not find this to be the laptop of choice, i cannot deny the excellent screen, insane battery life and great keyboard.",Positive
939,had great battery life.,Positive
940,extremely happy with this purchase.surprisingly long battery life.,Positive
941,the battery is poor. | even with no activity the battery runs down in less than a day.,Negative
942,"it is light, fast, long battery life.",Positive
943,"long battery life, very impressed with it thus far",Positive
944,"performance is good, battery can last ~4hr only on gentle internet visiting.",Positive
945,battery life is fine i think once it charged it can run 5-6 hour without needing to charge it again.,Positive
946,it works great so far and the battery life is perfect.,Positive
947,love the long battery life especially on long road trips with my daughter.,Positive
948,"secondly, the battery life.",Neutral
949,battery remains 99% charged.,Neutral
950,has great battery life.,Positive
951,the battery is long lasting and recharges quickly.,Positive
952,"the small size means it is convenient to carry and handle, it has plenty of memory and battery life for the purpose i use it for which is mostly web surfing, social media and listening to music",Positive
953,"i have not even had this laptop for a year & i have already had to send it in once because the battery stopped charging. | they replaced my battery & it worked again, for a while.",Neutral
954,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
955,"replaced the battery, did not fix problem.",Neutral
956,"i had to replace the battery after only 4 months of having it, and even after that it only fully functioned while plugged in",Neutral
957,battery life is good and processor speed is plenty fast for normal web surfing and basic office tasks.,Positive
958,the only downsides are that it drops fps when its unplugged and it doesnt have a great battery life when playing games.,Positive
959,"battery life is better than any laptop i have ever seen, battery lasts all day.",Positive
960,"the only small critique would be it is battery life, which falls short of expectations.",Negative
961,"the ability to flip the screen around and all that is very useful, and the battery life is great.",Positive
962,"long battery time, responsive touch screen, everything was like when we first bought it.",Positive
963,it has decent battery life around 6-8 hours on lowest brightness.,Positive
964,the battery life is mid (at best).,Positive
965,"i purchased this laptop last summer (~july 2020) and for the past year, has been pretty much what i expected for it is price- the battery life is solid, it is light and portable, has a nice screen.",Positive
966,it has the longest battery life i have ever seen.,Neutral
